,Central Tendency:,Average,Median,Mode,Dispersion:,Range,Variance,Standard Deviation,,,,
Price $USD,,6249.04,6200,6995,,8100,5172548.421,2274.323728,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,Mean,6249.037632,
,,,,,,,,,,Standard Error,6.535682855,
,,,,,,,,,,Median,6200,
,,,,,,,,,,Mode,6995,
,,,,,,,,,,Standard Deviation,2274.323728,
,,,,,,,,,,Sample Variance,5172548.421,
,,,,,,,,,,Kurtosis,-1.072362978,
,,,,,,,,,,Skewness,-0.039196915,
,,,,,,,,,,Range,8100,
,,,,,,,,,,Minimum,1900,
,,,,,,,,,,Maximum,10000,
,,,,,,,,,,Sum,756720963,
,,,,,,,,,,Count,121094,
,,,,,,,,,,,,
,,,,,,,,,,Analysis,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Central Tendency:,Average,Median,Mode,Distribution,Range,Variance,Standard Deviation,,,,
Mileage (mi),,"144,703",138000,200000,,5895000,9543980186,97693.29653,,,,
,,,,,,,,,,Mean,144703.291,
,,,,,,,,,,Standard Error,280.7394547,
,,,,,,,,,,Median,138000,
,,,,,,,,,,Mode,200000,
,,,,,,,,,,Standard Deviation,97693.29653,
,,,,,,,,,,Sample Variance,9543980186,
,,,,,,,,,,Kurtosis,828.987796,
,,,,,,,,,,Skewness,21.00053087,
,,,,,,,,,,Range,5895000,
,,,,,,,,,,Minimum,5000,
,,,,,,,,,,Maximum,5900000,
,,,,,,,,,,Sum,17522700319,
,,,,,,,,,,Count,121094,
,,,,,,,,,,,,
,,,,,,,,,,Analysis: ,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SMART Questions,,,,,,,,,,,,
,,,,,,,,,,,,
Which region had the most cars sold?,,,,What manufacturer has the most listings?,,,,Region,orlando,,Manufacturer:,honda
Region,Count,,,Manufacturer,Count,,,Manufacturer ,honda,,How does the manufacturer affect prices?,
orlando,2983,,,ford,19981,,,Listed # manufacturers for a region?,,,Average cost based on manufacturer,
sarasota-bradenton,2977,,,chevrolet,15292,,,Manufacturer Count,,,6463.385241,
stockton,2977,,,toyota,10592,,,158,,,,
boise,2976,,,honda,6274,,,,,,,
"washington, DC",2970,,,nissan,5606,,,,,,,
maine,2966,,,unspecified,5530,,,,,,,
atlanta,2964,,,jeep,5187,,,,,,,
hawaii,2964,,,ram,4745,,,,,,,
jacksonville,2961,,,gmc,4504,,,,,,,
omaha / council bluffs,2959,,,bmw,4388,,,,,,,
"kansas city, MO",2957,,,dodge,4095,,,,,,,
ft myers / SW florida,2954,,,mercedes-benz,3544,,,,,,,
denver,2952,,,hyundai,3154,,,,,,,
tampa bay area,2944,,,volkswagen,2680,,,,,,,
"st louis, MO",2940,,,lexus,2644,,,,,,,
SF bay area,2935,,,subaru,2643,,,,,,,
chicago,2929,,,kia,2411,,,,,,,
des moines,2922,,,audi,2376,,,,,,,
south florida,2920,,,cadillac,2084,,,,,,,
colorado springs,2914,,,acura,1887,,,,,,,
spokane / coeur d'alene,2848,,,chrysler,1745,,,,,,,
hartford,2564,,,mazda,1636,,,,,,,
ventura county,2518,,,buick,1527,,,,,,,
fort collins / north CO,2381,,,infiniti,1511,,,,,,,
indianapolis,2303,,,lincoln,1221,,,,,,,
louisville,1937,,,volvo,996,,,,,,,
ocala,1828,,,mitsubishi,832,,,,,,,
yuba-sutter,1746,,,mini,721,,,,,,,
wichita,1694,,,rover,640,,,,,,,
new haven,1644,,,pontiac,606,,,,,,,
daytona beach,1633,,,jaguar,588,,,,,,,
space coast,1346,,,porsche,398,,,,,,,
new orleans,1321,,,mercury,383,,,,,,,
baltimore,1256,,,saturn,287,,,,,,,
western slope,1188,,,tesla,259,,,,,,,
treasure coast,1173,,,alfa-romeo,248,,,,,,,
lexington,1115,,,fiat,231,,,,,,,
rockford,1058,,,harley-davidson,60,,,,,,,
east idaho,1052,,,ferrari,25,,,,,,,
santa barbara,1052,,,datsun,18,,,,,,,
lakeland,1048,,,aston-martin,12,,,,,,,
south bend / michiana,969,,,land rover,3,,,,,,,
delaware,949,,,morgan,1,,,,,,,
gainesville,926,,,Grand Total,123565,,,,,,,
visalia-tulare,921,,,,,,,,,,,
twin falls,794,,,,,,,,,,,
fort wayne,788,,,,,,,,,,,
springfield,781,,,,,,,,,,,
tallahassee,771,,,,,,,,,,,
pueblo,746,,,,,,,,,,,
santa maria,740,,,,,,,,,,,
baton rouge,733,,,,,,,,,,,
lewiston / clarkston,702,,,,,,,,,,,
boulder,693,,,,,,,,,,,
macon / warner robins,687,,,,,,,,,,,
"quad cities, IA/IL",686,,,,,,,,,,,
cedar rapids,648,,,,,,,,,,,
columbus,639,,,,,,,,,,,
pensacola,622,,,,,,,,,,,
pullman / moscow,589,,,,,,,,,,,
eastern CT,582,,,,,,,,,,,
topeka,582,,,,,,,,,,,
waterloo / cedar falls,555,,,,,,,,,,,
southern illinois,555,,,,,,,,,,,
savannah / hinesville,516,,,,,,,,,,,
athens,487,,,,,,,,,,,
augusta,480,,,,,,,,,,,
shreveport,422,,,,,,,,,,,
bowling green,415,,,,,,,,,,,
northwest GA,415,,,,,,,,,,,
evansville,413,,,,,,,,,,,
northwest CT,397,,,,,,,,,,,
sioux city,393,,,,,,,,,,,
peoria,333,,,,,,,,,,,
st augustine,328,,,,,,,,,,,
panama city,298,,,,,,,,,,,
annapolis,285,,,,,,,,,,,
champaign urbana,281,,,,,,,,,,,
valdosta,262,,,,,,,,,,,
lafayette / west lafayette,260,,,,,,,,,,,
iowa city,253,,,,,,,,,,,
manhattan,251,,,,,,,,,,,
muncie / anderson,248,,,,,,,,,,,
north central FL,230,,,,,,,,,,,
dubuque,228,,,,,,,,,,,
albany,224,,,,,,,,,,,
mason city,217,,,,,,,,,,,
bloomington-normal,217,,,,,,,,,,,
bloomington,217,,,,,,,,,,,
eastern kentucky,213,,,,,,,,,,,
western KY,212,,,,,,,,,,,
florida keys,202,,,,,,,,,,,
lawrence,199,,,,,,,,,,,
terre haute,198,,,,,,,,,,,
okaloosa / walton,194,,,,,,,,,,,
ames,194,,,,,,,,,,,
brunswick,187,,,,,,,,,,,
lafayette,178,,,,,,,,,,,
southeast IA,175,,,,,,,,,,,
decatur,171,,,,,,,,,,,
san luis obispo,170,,,,,,,,,,,
heartland florida,170,,,,,,,,,,,
high rockies,169,,,,,,,,,,,
salina,168,,,,,,,,,,,
monroe,165,,,,,,,,,,,
lake charles,156,,,,,,,,,,,
kokomo,156,,,,,,,,,,,
mattoon-charleston,156,,,,,,,,,,,
richmond,152,,,,,,,,,,,
northwest KS,143,,,,,,,,,,,
owensboro,140,,,,,,,,,,,
statesboro,140,,,,,,,,,,,
central louisiana,132,,,,,,,,,,,
susanville,119,,,,,,,,,,,
southeast KS,119,,,,,,,,,,,
huntington-ashland,116,,,,,,,,,,,
la salle co,116,,,,,,,,,,,
southwest KS,96,,,,,,,,,,,
houma,88,,,,,,,,,,,
fort dodge,87,,,,,,,,,,,
siskiyou county,83,,,,,,,,,,,
western IL,63,,,,,,,,,,,
eastern CO,40,,,,,,,,,,,
region,1,,,,,,,,,,,
Grand Total,123565,,,,,,,,,,,
